Movie,URL,Max Week
Secrets-&-Lies,https://www.the-numbers.com/movie/Secrets-and-Lies#tab=box-office,34
Marvin's-Room,https://www.the-numbers.com/movie/Marvins-Room#tab=box-office,18
Fargo,https://www.the-numbers.com/movie/Fargo#tab=box-office,57
Breaking-the-Waves,https://www.the-numbers.com/movie/Breaking-the-Waves#tab=box-office,25
The-Crucible,https://www.the-numbers.com/movie/Crucible-The#tab=box-office,12
Hamlet,https://www.the-numbers.com/movie/Hamlet-(1996)#tab=box-office,16
Trainspotting,https://www.the-numbers.com/movie/Trainspotting#tab=box-office,22
Lone-Star,https://www.the-numbers.com/movie/Lone-Star#tab=box-office,30
Good-Will-Hunting,https://www.the-numbers.com/movie/Good-Will-Hunting#tab=box-office,34
The-Apostle,https://www.the-numbers.com/movie/Apostle-The#tab=box-office,26
Ulee's-Gold,https://www.the-numbers.com/movie/Ulees-Gold#tab=box-office,39
Wag-the-Dog,https://www.the-numbers.com/movie/Wag-the-Dog#tab=box-office,19
As-Good-as-It-Gets,https://www.the-numbers.com/movie/As-Good-as-It-Gets#tab=box-office,26
The-Wings-of-the-Dove,https://www.the-numbers.com/movie/Wings-of-the-Dove-The#tab=box-office,23
Afterglow,https://www.the-numbers.com/movie/Afterglow#tab=box-office,15
Mrs.-Brown,https://www.the-numbers.com/movie/Mrs-Brown#tab=box-office,36
Titanic,https://www.the-numbers.com/movie/Titanic#tab=box-office,755
The-Full-Monty,https://www.the-numbers.com/movie/Full-Monty-The#tab=box-office,37
L.A.-Confidential,https://www.the-numbers.com/movie/LA-Confidential-(1997)#tab=box-office,36
The-Sweet-Hereafter,https://www.the-numbers.com/movie/Sweet-Hereafter-The#tab=box-office,26
Donnie-Brasco,https://www.the-numbers.com/movie/Donnie-Brasco#tab=box-office,16
Boogie-Nights,https://www.the-numbers.com/movie/Boogie-Nights#tab=box-office,27
Deconstructing-Harry,https://www.the-numbers.com/movie/Deconstructing-Harry#tab=box-office,13
Trumbo,https://www.the-numbers.com/movie/Trumbo#tab=box-office,5
The-Martian,https://www.the-numbers.com/movie/The-Martian#tab=box-office,24
The-Revenant,https://www.the-numbers.com/movie/Revenant-The-(2015)#tab=box-office,22
Steve-Jobs,https://www.the-numbers.com/movie/Steve-Jobs-(2015)#tab=box-office,9
The-Danish-Girl,https://www.the-numbers.com/movie/Danish-Girl-The#tab=box-office,16
Carol,https://www.the-numbers.com/movie/Carol#tab=box-office,19
Room,https://www.the-numbers.com/movie/Room#tab=box-office,2
Joy,https://www.the-numbers.com/movie/Joy#tab=box-office,12
45-Years,https://www.the-numbers.com/movie/45-Years#tab=box-office,15
Brooklyn,https://www.the-numbers.com/movie/Brooklyn#tab=box-office,29
The-Big-Short,https://www.the-numbers.com/movie/Big-Short-The#tab=box-office,17
Mad-Max:-Fury-Road,https://www.the-numbers.com/movie/Mad-Max-Fury-Road#tab=box-office,19
Spotlight,https://www.the-numbers.com/movie/Spotlight#tab=box-office,26
Bridge-of-Spies,https://www.the-numbers.com/movie/Bridge-of-Spies#tab=box-office,21
Ex-Machina,https://www.the-numbers.com/movie/Ex-Machina#tab=box-office,21
Inside-Out,https://www.the-numbers.com/movie/Inside-Out-(2015)#tab=box-office,25
Straight-Outta-Compton,https://www.the-numbers.com/movie/Straight-Outta-Compton#tab=box-office,10
Manchester-by-the-Sea,https://www.the-numbers.com/movie/Manchester-by-the-Sea#tab=box-office,23
Hacksaw-Ridge,https://www.the-numbers.com/movie/Hacksaw-Ridge#tab=box-office,18
La-La-Land,https://www.the-numbers.com/movie/La-La-Land#tab=box-office,20
Captain-Fantastic,https://www.the-numbers.com/movie/Captain-Fantastic#tab=box-office,16
Fences,https://www.the-numbers.com/movie/Fences#tab=box-office,15
Arrival,https://www.the-numbers.com/movie/Arrival#tab=box-office,17
Moonlight,https://www.the-numbers.com/movie/Moonlight#tab=box-office,47
Hell-or-High-Water,https://www.the-numbers.com/movie/Hell-or-High-Water#tab=box-office,14
Hidden-Figures,https://www.the-numbers.com/movie/Hidden-Figures#tab=box-office,41
Lion,https://www.the-numbers.com/movie/Lion#tab=box-office,23
The-Lobster,https://www.the-numbers.com/movie/Lobster-The#tab=box-office,23
20th-Century-Women,https://www.the-numbers.com/movie/20th-Century-Women#tab=box-office,19
Call-Me-by-Your-Name,https://www.the-numbers.com/movie/Call-Me-by-Your-Name#tab=box-office,21
Phantom-Thread,https://www.the-numbers.com/movie/Phantom-Thread#tab=box-office,14
Get-Out,https://www.the-numbers.com/movie/Get-Out#tab=box-office,51
Darkest-Hour,https://www.the-numbers.com/movie/Darkest-Hour-(UK)#tab=box-office,19
"Roman-J.-Israel,-Esq.",https://www.the-numbers.com/movie/Roman-J-Israel-Esq#tab=box-office,14
The-Shape-of-Water,https://www.the-numbers.com/movie/Shape-of-Water-The#tab=box-office,22
"Three-Billboards-outside-Ebbing,-Missouri",https://www.the-numbers.com/movie/Three-Billboards-Outside-Ebbing-Missouri#tab=box-office,25
"I,-Tonya",https://www.the-numbers.com/movie/I-Tonya-(2017)#tab=box-office,19
Lady-Bird,https://www.the-numbers.com/movie/Lady-Bird-(2017)#tab=box-office,22
The-Post,https://www.the-numbers.com/movie/Post-The#tab=box-office,21
Dunkirk,https://www.the-numbers.com/movie/Dunkirk#tab=box-office,21
The-Disaster-Artist,https://www.the-numbers.com/movie/Disaster-Artist-The#tab=box-office,14
Logan,https://www.the-numbers.com/movie/Logan#tab=box-office,1
