Movie Name,URL,Domestic Box Office 
The-English-Patient,https://www.the-numbers.com/movie/English-Patient-The#tab=box-office,78716374
The-People-vs.-Larry-Flynt,https://www.the-numbers.com/movie/People-vs-Larry-Flynt-The#tab=box-office,20224840
Shine,https://www.the-numbers.com/movie/Shine#tab=box-office,35811509
Sling-Blade,https://www.the-numbers.com/movie/Sling-Blade#tab=box-office,24475416
Secrets-&-Lies,https://www.the-numbers.com/movie/Secrets-and-Lies#tab=box-office,13417292
Marvin's-Room,https://www.the-numbers.com/movie/Marvins-Room#tab=box-office,12803305
Fargo,https://www.the-numbers.com/movie/Fargo#tab=box-office,24567751
Breaking-the-Waves,https://www.the-numbers.com/movie/Breaking-the-Waves#tab=box-office,4040691
The-Crucible,https://www.the-numbers.com/movie/Crucible-The#tab=box-office,7352332
Hamlet,,4520
Trainspotting,https://www.the-numbers.com/movie/Trainspotting#tab=box-office,16501785
Lone-Star,https://www.the-numbers.com/movie/Lone-Star#tab=box-office,12961389
Good-Will-Hunting,https://www.the-numbers.com/movie/Good-Will-Hunting#tab=box-office,138433435
The-Apostle,https://www.the-numbers.com/movie/Apostle-The#tab=box-office,20733485
Ulee's-Gold,https://www.the-numbers.com/movie/Ulees-Gold#tab=box-office,9054736
Wag-the-Dog,https://www.the-numbers.com/movie/Wag-the-Dog#tab=box-office,43057470
As-Good-as-It-Gets,https://www.the-numbers.com/movie/As-Good-as-It-Gets#tab=box-office,148478011
The-Wings-of-the-Dove,https://www.the-numbers.com/movie/Wings-of-the-Dove-The#tab=box-office,14196971
Afterglow,https://www.the-numbers.com/movie/Afterglow#tab=box-office,2537428
Mrs.-Brown,https://www.the-numbers.com/movie/Mrs-Brown#tab=box-office,9217930
Titanic,https://www.the-numbers.com/movie/Titanic#tab=box-office,674460013
The-Full-Monty,https://www.the-numbers.com/movie/Full-Monty-The#tab=box-office,45950122
L.A.-Confidential,,"64,604,977"
The-Sweet-Hereafter,https://www.the-numbers.com/movie/Sweet-Hereafter-The#tab=box-office,4306697
Donnie-Brasco,https://www.the-numbers.com/movie/Donnie-Brasco#tab=box-office,41954997
Boogie-Nights,https://www.the-numbers.com/movie/Boogie-Nights#tab=box-office,26410771
Deconstructing-Harry,https://www.the-numbers.com/movie/Deconstructing-Harry#tab=box-office,10686841
Trumbo,https://www.the-numbers.com/movie/Trumbo#tab=box-office,108280
The-Martian,https://www.the-numbers.com/movie/The-Martian#tab=box-office,228433663
The-Revenant,https://www.the-numbers.com/movie/Revenant-The-(2015)#tab=summary,"183,637,894"
Steve-Jobs,https://www.the-numbers.com/movie/Steve-Jobs-(2015)#tab=summary,"17,766,658"
