movie,url,first_full_date_in_theaters,first_month_in_theaters
The-Client,https://www.the-numbers.com/movie/Client-The#tab=box-office,1994-07-22,7.0
Bullets-over-Broadway,https://www.the-numbers.com/movie/Bullets-over-Broadway#tab=box-office,1994-10-28,10.0
Quiz-Show,https://www.the-numbers.com/movie/Quiz-Show#tab=box-office,1994-09-16,9.0
Red,https://www.the-numbers.com/movie/Red#tab=box-office,2008-08-08,8.0
Four-Weddings-and-a-Funeral,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral#tab=box-office,1994-04-01,4.0
Heavenly-Creatures,https://www.the-numbers.com/movie/Heavenly-Creatures#tab=box-office,1994-12-09,12.0
Babe,https://www.the-numbers.com/movie/Babe#tab=box-office,1995-08-04,8.0
Apollo-13,https://www.the-numbers.com/movie/Apollo-13#tab=box-office,1995-06-30,6.0
Mighty-Aphrodite,https://www.the-numbers.com/movie/Mighty-Aphrodite#tab=box-office,1995-10-27,10.0
Toy-Story,https://www.the-numbers.com/movie/Toy-Story#tab=box-office,1995-11-24,11.0
The-Usual-Suspects,https://www.the-numbers.com/movie/Usual-Suspects-The#tab=box-office,1995-08-18,8.0
Jerry-Maguire,https://www.the-numbers.com/movie/Jerry-Maguire#tab=box-office,1996-12-13,12.0
The-English-Patient,https://www.the-numbers.com/movie/English-Patient-The#tab=box-office,1996-11-15,11.0
The-People-vs.-Larry-Flynt,https://www.the-numbers.com/movie/People-vs-Larry-Flynt-The#tab=box-office,1996-12-27,12.0
Shine,https://www.the-numbers.com/movie/Shine#tab=box-office,1996-11-22,11.0
Sling-Blade,https://www.the-numbers.com/movie/Sling-Blade#tab=box-office,1997-01-03,1.0
Secrets-&-Lies,https://www.the-numbers.com/movie/Secrets-and-Lies#tab=box-office,1996-10-04,10.0
Marvin's-Room,https://www.the-numbers.com/movie/Marvins-Room#tab=box-office,1996-12-20,12.0
Fargo,https://www.the-numbers.com/movie/Fargo#tab=box-office,1996-03-08,3.0
